number,value,datetime_start,datetime_complete,duration,params_reg_weight_lam,params_relax_coeff_nu,user_attrs_constraints,user_attrs_fail_reason,system_attrs_constraints,state
20,3.2200594630682082,2026-01-15 16:33:26.129339,2026-01-15 16:33:30.047390,0 days 00:00:03.918051,0.00019971579616753353,2.293915567832152e-06,,,[0.0],COMPLETE
21,3.2200594630214185,2026-01-15 16:33:30.056405,2026-01-15 16:33:34.030275,0 days 00:00:03.973870,0.00040383035947504184,8.169150226382269e-06,,,[0.0],COMPLETE
22,3.2200594629649055,2026-01-15 16:33:34.039793,2026-01-15 16:33:37.888853,0 days 00:00:03.849060,0.00024870678377043984,1.1787038370156446e-06,,,[0.0],COMPLETE
23,3.2200594630181225,2026-01-15 16:33:37.895594,2026-01-15 16:33:41.893707,0 days 00:00:03.998113,0.0002082391286507609,1.0361298770476701e-06,,,[0.0],COMPLETE
24,3.2200594630586403,2026-01-15 16:33:41.899736,2026-01-15 16:33:45.886196,0 days 00:00:03.986460,0.00010119458241918103,3.7708376706490018e-06,,,[0.0],COMPLETE
25,3.2200594630571455,2026-01-15 16:33:45.893337,2026-01-15 16:33:49.991316,0 days 00:00:04.097979,0.000279292776351163,1.0211415625748343e-06,,,[0.0],COMPLETE
26,3.2200594629655193,2026-01-15 16:33:50.000060,2026-01-15 16:33:54.425539,0 days 00:00:04.425479,0.001953250856615181,5.4990271207920515e-06,,,[0.0],COMPLETE
27,30.61528213147459,2026-01-15 16:33:54.432249,2026-01-15 16:33:59.219425,0 days 00:00:04.787176,0.007008407697515196,6.930539901393133e-05,,,[0.0],COMPLETE
28,3.220059462939187,2026-01-15 16:33:59.226317,2026-01-15 16:34:03.512759,0 days 00:00:04.286442,0.001692053769742746,5.628534112578672e-06,,,[0.0],COMPLETE
29,15.265499415374368,2026-01-15 16:34:03.519814,2026-01-15 16:34:07.884754,0 days 00:00:04.364940,0.0006945727049204146,0.00025850722414687077,,,[0.0],COMPLETE
30,30.621694219247214,2026-01-15 16:34:07.891669,2026-01-15 16:34:12.529968,0 days 00:00:04.638299,0.01331975146665605,3.460103939314194e-05,,,[0.0],COMPLETE
31,3.2200594630248207,2026-01-15 16:34:12.536849,2026-01-15 16:34:16.817435,0 days 00:00:04.280586,0.0023888090855944105,5.984021330457092e-06,,,[0.0],COMPLETE
32,3.2200594629727983,2026-01-15 16:34:16.823904,2026-01-15 16:34:21.266213,0 days 00:00:04.442309,0.03458241028959126,4.271241899646776e-06,,,[0.0],COMPLETE
33,3.2200594630818524,2026-01-15 16:34:21.272699,2026-01-15 16:34:25.725138,0 days 00:00:04.452439,0.0018461718691670612,1.1901323537872932e-05,,,[0.0],COMPLETE
34,inf,2026-01-15 16:34:25.735671,2026-01-15 16:34:47.681258,0 days 00:00:21.945587,0.003940710363914534,0.011468657826976439,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
35,30.623217660118936,2026-01-15 16:34:47.689236,2026-01-15 16:34:52.216640,0 days 00:00:04.527404,0.2829497323191619,2.7134027920711932e-06,,,[0.0],COMPLETE
36,3.2200594631122548,2026-01-15 16:34:52.222600,2026-01-15 16:34:56.465709,0 days 00:00:04.243109,0.0010174162606754755,7.071400744493271e-06,,,[0.0],COMPLETE
37,3.2200594630960575,2026-01-15 16:34:56.473283,2026-01-15 16:35:01.280690,0 days 00:00:04.807407,0.000154714166484651,0.0001328801247983193,,,[0.0],COMPLETE
38,3.220059462982425,2026-01-15 16:35:01.288205,2026-01-15 16:35:05.608585,0 days 00:00:04.320380,0.0004158120608425385,5.156984598557588e-05,,,[0.0],COMPLETE
39,30.622860716620796,2026-01-15 16:35:05.615227,2026-01-15 16:35:10.196926,0 days 00:00:04.581699,0.019996811680420286,1.4883174398026376e-05,,,[0.0],COMPLETE
40,17.276783685974873,2026-01-15 16:35:10.203776,2026-01-15 16:35:14.650398,0 days 00:00:04.446622,0.08088332704222073,2.246700946170889e-06,,,[0.0],COMPLETE
41,3.220059462969129,2026-01-15 16:35:14.657571,2026-01-15 16:35:18.865832,0 days 00:00:04.208261,0.0003144886609289681,1.7999546434458644e-06,,,[0.0],COMPLETE
42,3.220059462810497,2026-01-15 16:35:18.873348,2026-01-15 16:35:23.134215,0 days 00:00:04.260867,0.0005990192484176671,1.0488370333921642e-06,,,[0.0],COMPLETE
43,3.220059463028132,2026-01-15 16:35:23.144270,2026-01-15 16:35:27.300807,0 days 00:00:04.156537,0.0006498850954268835,2.90549133623056e-06,,,[0.0],COMPLETE
44,3.2200594630030848,2026-01-15 16:35:27.307679,2026-01-15 16:35:31.676407,0 days 00:00:04.368728,0.0013593876139271223,1.1428435480194863e-05,,,[0.0],COMPLETE
45,3.22005946292306,2026-01-15 16:35:31.682815,2026-01-15 16:35:35.911444,0 days 00:00:04.228629,0.00014940454880319541,4.95477392316363e-06,,,[0.0],COMPLETE
46,1.633072702193819,2026-01-15 16:35:35.917851,2026-01-15 16:35:40.277332,0 days 00:00:04.359481,0.00014458489736536955,0.17595056847683127,,,[0.0],COMPLETE
47,26.14581783178923,2026-01-15 16:35:40.285220,2026-01-15 16:35:44.740470,0 days 00:00:04.455250,0.00015509094939115302,0.028654619257393574,,,[0.0],COMPLETE
48,1.6412197501816326,2026-01-15 16:35:44.748093,2026-01-15 16:35:49.113265,0 days 00:00:04.365172,0.00015425194450916117,0.0821115513475421,,,[0.0],COMPLETE
49,inf,2026-01-15 16:35:49.120148,2026-01-15 16:36:15.222742,0 days 00:00:26.102594,0.00012755897743348083,0.3639632866052897,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
50,inf,2026-01-15 16:36:15.232313,2026-01-15 16:36:40.687470,0 days 00:00:25.455157,0.0004702081885386255,0.17188842528160228,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
51,inf,2026-01-15 16:36:40.694564,2026-01-15 16:37:05.784601,0 days 00:00:25.090037,0.00017408715932752835,0.8591088885196859,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
52,1.9478319452822388,2026-01-15 16:37:05.790972,2026-01-15 16:37:10.107025,0 days 00:00:04.316053,0.0003858985301979227,0.04456702721344936,,,[0.0],COMPLETE
53,1.643109586392526,2026-01-15 16:37:10.115630,2026-01-15 16:37:14.278049,0 days 00:00:04.162419,0.0001562457688773022,0.07855157789760865,,,[0.0],COMPLETE
54,1.949887865412498,2026-01-15 16:37:14.284810,2026-01-15 16:37:18.487190,0 days 00:00:04.202380,0.00038709278492953436,0.056227821768925046,,,[0.0],COMPLETE
55,1.8872583394098204,2026-01-15 16:37:18.494196,2026-01-15 16:37:22.648604,0 days 00:00:04.154408,0.00034938099002070956,0.03980288869966326,,,[0.0],COMPLETE
56,1.8325881402231812,2026-01-15 16:37:22.654903,2026-01-15 16:37:26.757553,0 days 00:00:04.102650,0.0003139877919608606,0.050456638773925463,,,[0.0],COMPLETE
57,28.136352628742785,2026-01-15 16:37:26.764258,2026-01-15 16:37:31.240379,0 days 00:00:04.476121,0.00022711799966797756,0.006605626948651307,,,[0.0],COMPLETE
58,1.852473148605475,2026-01-15 16:37:31.247661,2026-01-15 16:37:35.360174,0 days 00:00:04.112513,0.0003271580834141544,0.07964957450763993,,,[0.0],COMPLETE
59,inf,2026-01-15 16:37:35.367041,2026-01-15 16:37:56.310826,0 days 00:00:20.943785,0.0009129274557408873,0.11800332788610297,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
60,27.98240490364702,2026-01-15 16:37:56.319671,2026-01-15 16:38:00.788454,0 days 00:00:04.468783,0.0002834567381104822,0.015361052775615322,,,[0.0],COMPLETE
61,1.8658175324717408,2026-01-15 16:38:00.795746,2026-01-15 16:38:05.065216,0 days 00:00:04.269470,0.00033580342911345454,0.04081815686596183,,,[0.0],COMPLETE
62,1.626573447208318,2026-01-15 16:38:05.071239,2026-01-15 16:38:09.337630,0 days 00:00:04.266391,0.00013557421049251314,0.2408232934712484,,,[0.0],COMPLETE
63,inf,2026-01-15 16:38:09.344724,2026-01-15 16:38:35.241497,0 days 00:00:25.896773,0.0001950726083315431,0.21297621281241969,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
64,1.6257976381479766,2026-01-15 16:38:35.248625,2026-01-15 16:38:39.401451,0 days 00:00:04.152826,0.00012318861978819872,0.06942761863984719,,,[0.0],COMPLETE
65,1.6282269102984566,2026-01-15 16:38:39.409200,2026-01-15 16:38:43.614995,0 days 00:00:04.205795,0.00013307550019064153,0.07390459367571127,,,[0.0],COMPLETE
66,inf,2026-01-15 16:38:43.623074,2026-01-15 16:39:08.940425,0 days 00:00:25.317351,0.00012251910235020562,0.36422608385709015,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
67,1.6097366760413676,2026-01-15 16:39:08.948682,2026-01-15 16:39:13.480185,0 days 00:00:04.531503,0.0001038058934970983,0.19942992815430372,,,[0.0],COMPLETE
68,inf,2026-01-15 16:39:13.490412,2026-01-15 16:39:39.728054,0 days 00:00:26.237642,0.00010357543457639249,0.6641693491600872,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
69,1.6240959655147988,2026-01-15 16:39:39.735268,2026-01-15 16:39:44.361769,0 days 00:00:04.626501,0.00013186372308457843,0.2174395380826758,,,[0.0],COMPLETE
70,inf,2026-01-15 16:39:44.371090,2026-01-15 16:40:10.649376,0 days 00:00:26.278286,0.00020126507049300353,0.23749652981343827,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
71,1.627451466374096,2026-01-15 16:40:10.656257,2026-01-15 16:40:14.941074,0 days 00:00:04.284817,0.00013684179843349167,0.10132233559763293,,,[0.0],COMPLETE
72,1.6221185510410618,2026-01-15 16:40:14.948026,2026-01-15 16:40:19.334825,0 days 00:00:04.386799,0.00012875737400227293,0.12407752361981128,,,[0.0],COMPLETE
73,1.608671516319924,2026-01-15 16:40:19.341051,2026-01-15 16:40:23.589747,0 days 00:00:04.248696,0.00010060255363466986,0.13700758945406724,,,[0.0],COMPLETE
74,1.6151278381250598,2026-01-15 16:40:23.597881,2026-01-15 16:40:27.957538,0 days 00:00:04.359657,0.00011635552543840721,0.296133077576916,,,[0.0],COMPLETE
75,1.6101192800091506,2026-01-15 16:40:27.964378,2026-01-15 16:40:32.297546,0 days 00:00:04.333168,0.00010393946852004852,0.12572730897276957,,,[0.0],COMPLETE
76,inf,2026-01-15 16:40:32.304842,2026-01-15 16:40:58.454903,0 days 00:00:26.150061,0.0001057034159945833,0.506019516396505,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
77,inf,2026-01-15 16:40:58.460946,2026-01-15 16:41:24.724049,0 days 00:00:26.263103,0.00018886143342740247,0.28597482416171777,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
78,1.706527899399675,2026-01-15 16:41:24.731269,2026-01-15 16:41:29.120389,0 days 00:00:04.389120,0.00021933696031184793,0.14494674147302114,,,[0.0],COMPLETE
79,inf,2026-01-15 16:41:29.127590,2026-01-15 16:41:55.179182,0 days 00:00:26.051592,0.0002459084496624446,0.6143858315179472,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
80,inf,2026-01-15 16:41:55.186803,2026-01-15 16:42:22.228301,0 days 00:00:27.041498,0.00010154224222349702,0.9925248932279187,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
81,1.6221205433401806,2026-01-15 16:42:22.235242,2026-01-15 16:42:26.971858,0 days 00:00:04.736616,0.00012876023387573156,0.11798724057125025,,,[0.0],COMPLETE
82,71.41465707420244,2026-01-15 16:42:26.977856,2026-01-15 16:42:33.063264,0 days 00:00:06.085408,0.00010003275446434272,0.35921041401263565,,,[0.0],COMPLETE
83,27.948751316119143,2026-01-15 16:42:33.069473,2026-01-15 16:42:37.685225,0 days 00:00:04.615752,0.00017742089030175115,0.0014354336213403083,,,[0.0],COMPLETE
84,2.2030417106169065,2026-01-15 16:42:37.693376,2026-01-15 16:42:42.316281,0 days 00:00:04.622905,0.0005183826434272369,0.024321991847302507,,,[0.0],COMPLETE
85,1.6201634120558543,2026-01-15 16:42:42.324655,2026-01-15 16:42:46.612077,0 days 00:00:04.287422,0.00012554389696408562,0.13265402665805234,,,[0.0],COMPLETE
86,70.5145194509231,2026-01-15 16:42:46.618319,2026-01-15 16:42:53.208706,0 days 00:00:06.590387,0.00026578767157761564,0.13782507956888435,,,[0.0],COMPLETE
87,1.618949740669896,2026-01-15 16:42:53.214794,2026-01-15 16:42:58.226290,0 days 00:00:05.011496,0.00012346572965704858,0.18928962136445415,,,[0.0],COMPLETE
88,1.7124066168350147,2026-01-15 16:42:58.232119,2026-01-15 16:43:02.933668,0 days 00:00:04.701549,0.00022434787998299537,0.11580424365501864,,,[0.0],COMPLETE
89,inf,2026-01-15 16:43:02.943235,2026-01-15 16:43:31.566228,0 days 00:00:28.622993,0.00017848997362821727,0.45180260658879173,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
90,25.410743615539303,2026-01-15 16:43:31.574032,2026-01-15 16:43:36.301839,0 days 00:00:04.727807,0.00012954357333067284,0.026169460727647635,,,[0.0],COMPLETE
91,1.6196009174555166,2026-01-15 16:43:36.308195,2026-01-15 16:43:40.521511,0 days 00:00:04.213316,0.00012459217084102864,0.1983564421275459,,,[0.0],COMPLETE
92,3151.3306066130117,2026-01-15 16:43:40.529034,2026-01-15 16:43:43.025081,0 days 00:00:02.496047,0.5115365566131101,0.17306274286044596,,,[0.0],COMPLETE
93,inf,2026-01-15 16:43:43.032278,2026-01-15 16:44:13.997997,0 days 00:00:30.965719,0.00016150940983632154,0.28279482938063966,[1.0],"ValueError(""Input X contains infinity or a value too large for dtype('float64')."")",[1.0],COMPLETE
94,1.6146604306597732,2026-01-15 16:44:14.008901,2026-01-15 16:44:25.670994,0 days 00:00:11.662093,0.00011540361892526989,0.18762736189755239,,,[0.0],COMPLETE
95,1.7496984450666133,2026-01-15 16:44:25.682659,2026-01-15 16:44:36.436742,0 days 00:00:10.754083,0.00025444167944643417,0.10537209708739008,,,[0.0],COMPLETE
96,1.6181622630916959,2026-01-15 16:44:36.448627,2026-01-15 16:44:46.874167,0 days 00:00:10.425540,0.00012207250699492763,0.15083092499497042,,,[0.0],COMPLETE
97,inf,2026-01-15 16:44:46.884583,2026-01-15 16:45:22.236358,0 days 00:00:35.351775,0.0001825303293166256,0.6465777367296078,,,[0.0],COMPLETE
98,2.214791917401732e+25,2026-01-15 16:45:22.251418,2026-01-15 16:45:30.410537,0 days 00:00:08.159119,0.12408417934874226,0.3446167323930753,,,[0.0],COMPLETE
99,9.477026383975574,2026-01-15 16:45:30.420909,2026-01-15 16:45:41.990164,0 days 00:00:11.569255,0.00010169644964711208,0.059701965093360364,,,[0.0],COMPLETE
